payment_id,user_id,amount_inr,failure_reason,solution_branch,churn_band,final_status,recovered_in_month,recovered_at_reminder,reminders_sent_month1,reminders_sent_month2,total_reminders_sent
pay_0029,user_1649,499,upi_autopay_failure,notify_user,Low,recovered,1,2,1,0,1
pay_0011,user_1851,499,bank_declined,timing_retry,Medium,recovered,1,1,0,0,0
pay_0043,user_1230,199,bank_declined,timing_retry,High,recovered,1,3,2,0,2
pay_0018,user_1895,199,insufficient_balance,delayed_retry,High,recovered,1,4,3,0,3
pay_0033,user_1340,499,expired_card,update_method,High,recovered,1,3,2,0,2
pay_0021,user_1303,199,upi_autopay_failure,notify_user,High,recovered,1,1,0,0,0
pay_0034,user_1227,199,insufficient_balance,delayed_retry,Medium,recovered,1,8,7,0,7
pay_0044,user_1713,499,card_blocked_frozen,notify_user,Medium,recovered,1,2,1,0,1
pay_0032,user_1905,499,bank_fraud_pattern_block,timing_retry,High,recovered,1,9,8,0,8
pay_0036,user_1993,499,card_blocked_frozen,notify_user,Low,exception_lapsed,,,9,4,13
pay_0054,user_1027,499,payment_gateway_failure,notify_user,Medium,recovered,2,2,9,1,10
pay_0038,user_1759,799,payment_gateway_failure,notify_user,Medium,recovered,1,8,7,0,7
pay_0019,user_1869,199,bank_declined,timing_retry,Medium,recovered,1,1,0,0,0
pay_0055,user_1138,499,account_card_changed,update_method,Medium,recovered,1,3,2,0,2
pay_0007,user_1141,799,account_card_changed,update_method,Low,exception_lapsed,,,9,4,13
pay_0039,user_1127,799,account_card_changed,update_method,High,recovered,1,5,4,0,4
pay_0024,user_1267,199,bank_fraud_pattern_block,timing_retry,High,recovered,1,3,2,0,2
pay_0001,user_1849,799,expired_card,update_method,Medium,exception_lapsed,,,9,3,12
pay_0022,user_1161,199,payment_gateway_failure,notify_user,Medium,recovered,1,1,0,0,0
pay_0037,user_1523,199,upi_autopay_failure,notify_user,Low,recovered,1,6,5,0,5
pay_0026,user_1378,499,insufficient_balance,delayed_retry,High,recovered,1,2,1,0,1
pay_0050,user_1065,499,insufficient_balance,delayed_retry,Medium,recovered,1,4,3,0,3
pay_0030,user_1009,199,payment_gateway_failure,notify_user,Low,recovered,1,8,7,0,7
pay_0028,user_1159,499,card_blocked_frozen,notify_user,Medium,exception_lapsed,,,9,3,12
pay_0020,user_1803,499,card_blocked_frozen,notify_user,Medium,recovered,1,5,4,0,4
pay_0053,user_1741,199,upi_autopay_failure,notify_user,Medium,exception_lapsed,,,9,3,12
pay_0012,user_1545,199,card_blocked_frozen,notify_user,High,exception_lapsed,,,9,2,11
pay_0025,user_1951,199,expired_card,update_method,High,exception_lapsed,,,9,2,11
pay_0049,user_1292,199,expired_card,update_method,Medium,recovered,2,2,9,1,10
pay_0047,user_1918,199,account_card_changed,update_method,Medium,recovered,1,3,2,0,2
pay_0046,user_1475,799,payment_gateway_failure,notify_user,High,exception_lapsed,,,9,2,11
pay_0014,user_1602,799,payment_gateway_failure,notify_user,Low,recovered,1,4,3,0,3
pay_0008,user_1610,499,bank_fraud_pattern_block,timing_retry,Low,recovered,1,6,5,0,5
pay_0052,user_1913,499,card_blocked_frozen,notify_user,Low,exception_lapsed,,,9,4,13
pay_0009,user_1445,199,expired_card,update_method,Low,exception_lapsed,,,9,4,13
pay_0040,user_1388,799,bank_fraud_pattern_block,timing_retry,High,exception_lapsed,,,9,2,11
pay_0010,user_1203,199,insufficient_balance,delayed_retry,Low,recovered,1,7,6,0,6
pay_0041,user_1329,499,expired_card,update_method,Medium,exception_lapsed,,,9,3,12
pay_0013,user_1747,799,upi_autopay_failure,notify_user,Low,exception_lapsed,,,9,4,13
pay_0016,user_1433,499,bank_fraud_pattern_block,timing_retry,Low,recovered,1,9,8,0,8
pay_0051,user_1598,799,bank_declined,timing_retry,Medium,exception_lapsed,,,9,3,12
pay_0003,user_1718,799,bank_declined,timing_retry,Low,recovered,1,6,5,0,5
pay_0045,user_1914,199,upi_autopay_failure,notify_user,High,recovered,1,6,5,0,5
pay_0005,user_1067,199,upi_autopay_failure,notify_user,High,exception_lapsed,,,9,2,11
pay_0042,user_1812,799,insufficient_balance,delayed_retry,High,exception_lapsed,,,9,2,11
pay_0015,user_1685,499,account_card_changed,update_method,Medium,exception_lapsed,,,9,3,12
pay_0023,user_1413,199,account_card_changed,update_method,Medium,recovered,1,3,2,0,2
pay_0004,user_1701,499,card_blocked_frozen,notify_user,Medium,exception_lapsed,,,9,3,12
pay_0035,user_1408,499,bank_declined,timing_retry,High,recovered,1,4,3,0,3
pay_0048,user_1860,799,bank_fraud_pattern_block,timing_retry,Medium,recovered,1,1,0,0,0
pay_0002,user_1081,199,insufficient_balance,delayed_retry,Medium,recovered,1,7,6,0,6
pay_0031,user_1130,199,account_card_changed,update_method,Medium,recovered,1,2,1,0,1
pay_0006,user_1271,199,payment_gateway_failure,notify_user,High,recovered,1,8,7,0,7
pay_0017,user_1549,499,expired_card,update_method,Medium,recovered,1,4,3,0,3
pay_0027,user_1961,199,bank_declined,timing_retry,Medium,recovered,1,9,8,0,8
