payment_id,user_id,subscription_plan,amount_inr,failure_timestamp,failure_reason,cycles_completed,payment_history,is_new_user,churn_score,churn_band
pay_0029,user_1649,Standard,499,2026-08-27 23:21,upi_autopay_failure,5,11011,False,80.0,Low
pay_0011,user_1851,Standard,499,2026-08-08 00:05,bank_declined,2,00,True,77,Medium
pay_0043,user_1230,Basic,199,2026-08-05 02:30,bank_declined,5,01000,False,20.0,High
pay_0018,user_1895,Basic,199,2026-08-15 10:03,insufficient_balance,3,000,False,0.0,High
pay_0033,user_1340,Standard,499,2026-08-26 14:17,expired_card,4,0100,False,25.0,High
pay_0021,user_1303,Basic,199,2026-08-31 23:47,upi_autopay_failure,4,1000,False,25.0,High
pay_0034,user_1227,Basic,199,2026-08-27 18:19,insufficient_balance,2,11,True,77,Medium
pay_0044,user_1713,Standard,499,2026-08-16 11:41,card_blocked_frozen,0,none,True,77,Medium
pay_0032,user_1905,Standard,499,2026-08-20 14:55,bank_fraud_pattern_block,5,00010,False,20.0,High
pay_0036,user_1993,Standard,499,2026-08-06 15:02,card_blocked_frozen,4,1111,False,100.0,Low
pay_0054,user_1027,Standard,499,2026-08-19 07:05,payment_gateway_failure,0,none,True,77,Medium
pay_0038,user_1759,Premium,799,2026-08-22 05:04,payment_gateway_failure,2,00,True,77,Medium
pay_0019,user_1869,Basic,199,2026-08-06 22:13,bank_declined,5,01100,False,40.0,Medium
pay_0055,user_1138,Standard,499,2026-08-06 05:20,account_card_changed,5,11010,False,60.0,Medium
pay_0007,user_1141,Premium,799,2026-08-16 23:55,account_card_changed,5,11111,False,100.0,Low
pay_0039,user_1127,Premium,799,2026-08-29 03:42,account_card_changed,5,00010,False,20.0,High
pay_0024,user_1267,Basic,199,2026-08-22 14:16,bank_fraud_pattern_block,3,100,False,33.3,High
pay_0001,user_1849,Premium,799,2026-08-20 18:36,expired_card,4,0111,False,75.0,Medium
pay_0022,user_1161,Basic,199,2026-08-31 12:04,payment_gateway_failure,2,10,True,77,Medium
pay_0037,user_1523,Basic,199,2026-08-13 13:16,upi_autopay_failure,5,11011,False,80.0,Low
pay_0026,user_1378,Standard,499,2026-08-06 16:39,insufficient_balance,4,1000,False,25.0,High
pay_0050,user_1065,Standard,499,2026-08-14 06:26,insufficient_balance,3,110,False,66.7,Medium
pay_0030,user_1009,Basic,199,2026-08-03 11:34,payment_gateway_failure,3,111,False,100.0,Low
pay_0028,user_1159,Standard,499,2026-08-10 17:13,card_blocked_frozen,4,0101,False,50.0,Medium
pay_0020,user_1803,Standard,499,2026-08-10 22:09,card_blocked_frozen,0,none,True,77,Medium
pay_0053,user_1741,Basic,199,2026-08-27 11:39,upi_autopay_failure,0,none,True,77,Medium
pay_0012,user_1545,Basic,199,2026-08-05 12:16,card_blocked_frozen,4,0000,False,0.0,High
pay_0025,user_1951,Basic,199,2026-08-01 10:04,expired_card,5,00000,False,0.0,High
pay_0049,user_1292,Basic,199,2026-08-09 00:08,expired_card,3,110,False,66.7,Medium
pay_0047,user_1918,Basic,199,2026-08-24 21:16,account_card_changed,0,none,True,77,Medium
pay_0046,user_1475,Premium,799,2026-08-17 17:48,payment_gateway_failure,5,00000,False,0.0,High
pay_0014,user_1602,Premium,799,2026-08-08 07:04,payment_gateway_failure,5,10111,False,80.0,Low
pay_0008,user_1610,Standard,499,2026-08-17 23:43,bank_fraud_pattern_block,5,11111,False,100.0,Low
pay_0052,user_1913,Standard,499,2026-08-18 14:31,card_blocked_frozen,5,11110,False,80.0,Low
pay_0009,user_1445,Basic,199,2026-08-15 03:32,expired_card,5,11101,False,80.0,Low
pay_0040,user_1388,Premium,799,2026-08-24 16:25,bank_fraud_pattern_block,5,00000,False,0.0,High
pay_0010,user_1203,Basic,199,2026-08-12 07:38,insufficient_balance,3,111,False,100.0,Low
pay_0041,user_1329,Standard,499,2026-08-15 13:32,expired_card,0,none,True,77,Medium
pay_0013,user_1747,Premium,799,2026-08-07 19:42,upi_autopay_failure,5,10111,False,80.0,Low
pay_0016,user_1433,Standard,499,2026-08-15 08:43,bank_fraud_pattern_block,5,11111,False,100.0,Low
pay_0051,user_1598,Premium,799,2026-08-01 19:30,bank_declined,3,011,False,66.7,Medium
pay_0003,user_1718,Premium,799,2026-08-21 01:34,bank_declined,5,11011,False,80.0,Low
pay_0045,user_1914,Basic,199,2026-08-25 12:51,upi_autopay_failure,5,00000,False,0.0,High
pay_0005,user_1067,Basic,199,2026-08-30 17:13,upi_autopay_failure,3,000,False,0.0,High
pay_0042,user_1812,Premium,799,2026-08-06 16:32,insufficient_balance,4,0000,False,0.0,High
pay_0015,user_1685,Standard,499,2026-08-07 22:15,account_card_changed,4,0110,False,50.0,Medium
pay_0023,user_1413,Basic,199,2026-08-31 14:37,account_card_changed,5,11000,False,40.0,Medium
pay_0004,user_1701,Standard,499,2026-08-27 08:14,card_blocked_frozen,2,11,True,77,Medium
pay_0035,user_1408,Standard,499,2026-08-09 15:22,bank_declined,5,00000,False,0.0,High
pay_0048,user_1860,Premium,799,2026-08-09 22:40,bank_fraud_pattern_block,2,11,True,77,Medium
pay_0002,user_1081,Basic,199,2026-08-28 03:29,insufficient_balance,3,110,False,66.7,Medium
pay_0031,user_1130,Basic,199,2026-08-10 08:57,account_card_changed,4,1110,False,75.0,Medium
pay_0006,user_1271,Basic,199,2026-08-08 15:47,payment_gateway_failure,3,000,False,0.0,High
pay_0017,user_1549,Standard,499,2026-08-05 15:29,expired_card,0,none,True,77,Medium
pay_0027,user_1961,Basic,199,2026-08-09 00:47,bank_declined,0,none,True,77,Medium
